Quote on 6/15/19 12:02:59

0 - Optionable
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
SNSS,"4,096,860",0,328.61%,.88,145,.90,-5.26%,.84,.88,8 x 54,.989,1.11,.88,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-2.22%,<empty>,±0.446,407.10%,±0.951,311.58%,±0.694,±0.305,283.19%,0.875,0.031,1.538,328.61%,95.52%,0.886,,SUNESIS PHARMACEUTICALS INC COM,Health Care,Biotechnology,"72,528,000",Biotechnology
TNDM,"4,087,726",0,60.01%,63.58,"62,160",63.58,-7.96%,63.50,63.75,1 x 1,68.74,68.86,62.65,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.00%,±4.231,60.58%,±6.463,64.97%,±4.863,<empty>,69.02%,1.016,0.405,1.66,60.01%,-4.39%,1.144,,TANDEM DIABETES CARE INC COM,Health Care,Health Care Equipment & Supplies,"58,067,241",Health Care Equipment
SO,"4,081,207",0,16.42%,55.65,"723,172",55.65,+0.91%,55.50,55.91,6 x 3,55.37,55.795,55.22,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.46%,±0.999,16.37%,±1.356,15.65%,±0.917,±0.413,14.91%,1.362,0.697,1.205,16.42%,0.72%,1.293,,SOUTHERN CO. COM,Utilities,Electric Utilities,"1,040,295,730",Electric Utilities
FCEL,"4,079,017",0,++,.3600,"4,794",.3600,-15.29%,.3502,.3640,30 x 19,.4450,.4450,.3500,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.00%,<empty>,<empty>,±0.272,562.26%,<empty>,<empty>,<empty>,0.347,0.064,0.03,++,<empty>,0.212,,FUELCELL ENERGY INC COM,Industrials,Electrical Equipment,"15,284,269",Electrical Components & Equipment
ABBV,"4,075,868",0,23.38%,78.69,"503,183",78.69,-0.33%,78.25,79.30,2 x 1,78.95,79.34,78.21,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.44%,±2.002,23.20%,±2.746,22.41%,±1.879,±0.729,21.60%,0.744,0.475,0.62,23.38%,0.79%,0.699,,ABBVIE INC COM,Health Care,Biotechnology,"1,478,332,200",Biotechnology
SFS,"4,057,909",0,++,6.47,"33,143",6.47,0.00%,6.30,6.52,30 x 60,6.47,6.49,6.46,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,0.007,5,0.352,++,<empty>,0.042,,SMART & FINAL STORES  INC COM,Consumer Staples,Food & Staples Retailing,"76,489,536",Food Retail
BHGE,"4,031,725",0,35.56%,22.15,"313,953",22.15,-2.77%,22.00,22.39,5 x 5,22.75,22.75,21.77,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,3.25%,±0.908,37.38%,±1.947,35.49%,±1.719,±0.318,35.01%,0.386,18.97,2.395,35.56%,1.89%,1.9,,BAKER HUGHES A GE COM CL A,Energy,Energy Equipment & Services,"1,037,101,610",Oil & Gas Equipment & Services
KSS,"3,982,568",0,35.11%,47.77,"342,791",47.77,-1.97%,47.75,47.92,1 x 5,48.69,48.90,47.40,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.61%,±1.761,33.61%,±2.611,35.06%,±1.925,<empty>,36.43%,0.756,0.619,0.397,35.11%,-1.45%,0.562,,KOHLS CORPORATION COM,Consumer Discretionary,Multiline Retail,"162,025,880",Department Stores
D,"3,964,305",0,20.53%,76.66,"409,292",76.66,+0.78%,76.45,76.85,3 x 5,76.15,76.835,75.8811,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.79%,±1.73,20.59%,±3.893,20.56%,±3.486,±0.104,20.55%,0.266,1.06,1.032,20.53%,0.03%,0.43,,DOMINION ENERGY INC COM,Utilities,Multi-Utilities,"802,364,340",Multi-Utilities
SRCI,"3,960,011",0,54.87%,4.53,0,4.53,-6.02%,4.26,6.84,10 x 3,4.80,4.845,4.495,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,-inf,--,±0.625,55.37%,<empty>,+inf,<empty>,0.016,11,0.359,54.87%,--,0.167,,SRC ENERGY INC COM,Energy,"Oil, Gas & Consumable Fuels","243,392,180",Oil & Gas Exploration & Production
WFTIF,"3,952,923",1,<empty>,.0420,"57,637",.0420,-8.70%,.0404,.0450,0 x 0,.0460,.0470,.0420,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,0.018,1,0.049,<empty>,<empty>,0.015,,WEATHERFORD INTL PLC COM,Energy,Energy Equipment & Services,"1,003,878,160",Oil & Gas Equipment & Services
KRNT,"3,933,940",0,45.32%,28.40,"63,959",28.39,-0.84%,28.40,29.55,1 x 50,28.70,30.00,28.195,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.04%,<empty>,±1.336,42.88%,±3.286,46.60%,±2.995,<empty>,47.47%,2.1,1.468,1.925,45.32%,-3.72%,1.993,,KORNIT DIGITAL LTD COM,Industrials,Machinery,"35,347,050",Industrial Machinery
AGI,"3,933,220",0,42.66%,5.41,"186,500",5.41,+0.93%,5.30,5.60,8 x 4,5.43,5.58,5.35,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.74%,-inf,--,±0.578,43.02%,<empty>,+inf,<empty>,4.754,0.001,0.339,42.66%,--,4.687,,ALAMOS GOLD INC COM CL A,Materials,Metals & Mining,"389,074,410",Gold
DOW,"3,919,484",0,26.40%,51.15,"285,031",51.15,-3.27%,50.65,51.30,10 x 3,52.63,52.69,51.00,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.47%,±1.389,24.77%,±2.044,25.65%,±1.498,<empty>,26.49%,0.378,1.644,1.378,26.40%,-0.88%,0.689,,DOW INC COM,Materials,Chemicals,"748,824,160",Commodity Chemicals
LPI,"3,895,323",0,73.38%,2.45,"146,661",2.45,-6.84%,2.31,2.67,15 x 1,2.61,2.65,2.45,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.172,63.73%,±0.458,74.43%,±0.422,<empty>,76.83%,1.081,0.36,0.72,73.38%,-10.70%,0.955,,LAREDO PETROLEUM INC COM,Energy,"Oil, Gas & Consumable Fuels","236,555,110",Oil & Gas Exploration & Production
PBR/A,"3,884,052",0,38.92%,13.83,"39,976",13.83,-2.05%,13.83,13.84,110 x 435,13.95,14.01,13.74,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,<empty>,0.29%,±0.675,44.49%,±1.343,39.17%,±1.158,±0.357,37.75%,0.154,16.667,0.523,38.92%,5.32%,0.113,,PETROLEO BRASILEIRO SA ADR SPONSORED,Energy,"Oil, Gas & Consumable Fuels","6,522,248,500",Integrated Oil & Gas
FTR,"3,852,580",0,101.36%,1.45,"37,391",1.46,-3.95%,1.42,1.45,48 x 1,1.51,1.52,1.32,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.68%,164.38%,±0.227,140.39%,±0.471,124.38%,±0.402,±0.117,120.12%,0.446,1.388,1.189,101.36%,16.01%,0.7,,FRONTIER COMMUNICATIONS CORP COM,Communication Services,Diversified Telecommunication Services,"105,291,000",Integrated Telecommunication Services
AES,"3,837,544",0,21.23%,17.09,"583,973",17.09,+1.36%,16.01,17.26,5 x 3,16.87,17.20,16.87,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,3.19%,±0.419,22.38%,±0.92,21.79%,±0.818,±0.107,21.64%,1.063,0.358,0.798,21.23%,0.59%,0.977,,AES CORP COM,Utilities,Independent Power and Renewable Electricity Producers,"663,727,050",Independent Power Producers & Energy Traders
UXIN,"3,811,273",0,134.93%,2.02,"577,282",2.02,+4.12%,2.02,2.06,5 x 50,1.91,2.11,1.89,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.386,170.96%,±0.7,132.79%,±0.564,±0.269,121.58%,1.122,0.116,0.199,134.93%,38.17%,0.758,,UXIN LIMITED ADR SPONSORED,Consumer Discretionary,Internet & Direct Marketing Retail,"293,553,300",Internet & Direct Marketing Retail
TLRD,"3,811,093",0,67.85%,5.49,"112,751",5.49,+1.29%,5.39,5.69,8 x 1,5.43,5.59,5.2479,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,13.11%,±0.447,73.99%,±0.954,69.34%,±0.837,±0.173,68.15%,0.248,0.602,0.124,67.85%,4.65%,0.18,,TAILORED BRANDS INC COM,Consumer Discretionary,Specialty Retail,"50,519,133",Apparel Retail
SYF,"3,808,241",0,24.71%,33.95,"365,264",33.95,-0.09%,33.00,35.14,40 x 4,34.00,34.085,33.49,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.47%,±0.895,24.05%,±1.175,22.23%,±0.761,±0.481,20.28%,0.406,0.434,0.152,24.71%,1.82%,0.269,,SYNCHRONY FINANCIAL COM,Financials,Consumer Finance,"689,316,400",Consumer Finance
JBLU,"3,803,521",0,25.97%,19.35,"276,324",19.35,-0.46%,19.15,19.76,2 x 1,19.41,19.5975,19.22,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.64,30.17%,±1.267,26.49%,±1.092,±0.342,25.50%,0.66,0.107,1.504,25.97%,3.68%,0.698,,JETBLUE AIRWAYS CORPORATION COM,Industrials,Airlines,"300,946,810",Airlines
IP,"3,801,757",0,30.67%,42.99,"258,448",42.99,-2.12%,42.75,44.15,10 x 5,43.70,43.87,42.65,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.65%,±1.421,30.13%,±2.02,30.15%,±1.434,<empty>,30.17%,1.272,1.983,0.764,30.67%,-0.02%,0.882,,INTERNATIONAL PAPER CO COM,Materials,Containers & Packaging,"397,333,980",Paper Packaging
TSN,"3,795,299",0,25.38%,81.91,"815,969",81.91,-0.75%,81.09,82.49,1 x 1,82.26,82.639,81.1269,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.83%,±2.407,26.80%,±3.221,25.25%,±2.139,±1.136,23.63%,0.624,0.318,1.094,25.38%,1.55%,0.696,,TYSON FOODS INC COM CL A,Consumer Staples,Food Products,"364,814,440",Packaged Foods & Meats
HMNY,"3,793,240",1,++,.0026,"3,608",.0026,+4.00%,.0001,.0029,0 x 0,.0027,.0027,.0023,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,+inf,++,<empty>,<empty>,<empty>,<empty>,<empty>,0.92,0.2,1.073,++,<empty>,0.92,,HELIOS & MATHESON ANALYTICS IN COM,Information Technology,IT Services,"2,001,541,300",IT Consulting & Other Services
NXPI,"3,758,684",0,37.72%,90.89,"262,206",90.89,-3.76%,90.85,91.49,1 x 1,91.89,92.99,90.88,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.10%,±4.071,40.82%,±5.658,39.92%,±3.922,±1.196,39.01%,0.677,1.669,0.965,37.72%,0.90%,0.832,,NXP SEMICONDUCTORS N V COM,Information Technology,Semiconductors & Semiconductor Equipment,"285,174,900",Semiconductors
MNST,"3,756,874",0,27.62%,61.33,"481,897",61.33,+1.20%,61.16,62.00,6 x 3,60.81,62.13,60.81,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.00%,±1.798,26.74%,±2.634,27.57%,±1.923,<empty>,28.36%,0.78,0.629,0.58,27.62%,-0.83%,0.688,,MONSTER BEVERAGE CORP COM,Consumer Staples,Beverages,"543,576,200",Soft Drinks
FLKS,"3,751,060",0,<empty>,.5100,300,.6405,+0.08%,.4810,.5100,10 x 37,.6500,.6600,.5810,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-20.37%,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,0.217,0.2,0.769,<empty>,<empty>,0.217,,FLEX PHARMA INC COM,Health Care,Pharmaceuticals,"18,069,476",Pharmaceuticals
QEP,"3,743,808",0,72.06%,5.91,"255,017",5.91,-0.84%,5.67,7.30,1 x 3,5.95,6.03,5.77,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.35%,±0.595,91.31%,±1.043,70.44%,±0.848,±0.421,64.28%,0.143,0.989,0.109,72.06%,20.87%,0.124,,QEP RESOURCES INC COM,Energy,"Oil, Gas & Consumable Fuels","238,045,330",Oil & Gas Exploration & Production
VTR,"3,743,440",0,18.67%,66.76,"358,702",66.76,+2.03%,61.33,69.83,3 x 1,65.54,66.965,65.37,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.75%,±1.518,20.74%,±3.136,19.02%,±2.742,±0.675,18.57%,1.529,2.022,3.65,18.67%,1.72%,2.502,,VENTAS INC COM,Real Estate,Equity Real Estate Investment Trusts (REITs),"371,061,890",Health Care REITs
SNE,"3,736,129",0,32.43%,51.33,"93,365",51.33,+3.34%,50.50,52.30,2 x 1,50.54,51.56,50.43,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.71%,±1.755,31.18%,±2.407,30.10%,±1.646,±0.645,29.00%,1.252,0.099,0.2,32.43%,1.08%,0.848,,SONY CORP ADR SPONSORED,Consumer Discretionary,Household Durables,"1,249,495,550",Consumer Electronics
SFUN,"3,677,734",0,184.10%,.829,"418,705",.829,-9.89%,.800,.890,10 x 30,.930,.950,.829,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,48.25%,±0.859,692.72%,<empty>,<empty>,<empty>,±0.984,<empty>,3.448,0.417,3.872,184.10%,<empty>,3.448,,FANG HOLDINGS LIMITED ADR,Communication Services,Interactive Media & Services,"446,706,190",Interactive Media & Services
LK,"3,669,587",0,95.32%,19.23,"35,184",19.23,+7.07%,19.13,19.48,5 x 5,17.96,19.45,17.80,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±2.301,108.37%,±3.104,102.34%,±2.053,±1.06,96.04%,0.982,0.33,0.668,95.32%,6.03%,0.88,,LUCKIN COFFEE INC ADR SPONSORED,Consumer Discretionary,"Hotels, Restaurants & Leisure","235,377,610",Restaurants
INVH,"3,654,624",0,20.31%,27.30,"412,163",27.31,+0.81%,15.66,27.30,100 x 0,26.99,27.35,26.98,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.04%,1.90%,±0.568,18.98%,±1.397,20.71%,±1.276,<empty>,21.11%,0.357,1,0.153,20.31%,-1.73%,0.331,,INVITATION HOMES INC COM,Real Estate,Equity Real Estate Investment Trusts (REITs),"524,990,960",Residential REITs
ENLC,"3,639,008",0,35.81%,9.90,"62,832",9.90,-0.90%,9.60,10.20,1 x 1,9.96,9.965,9.58,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,11.27%,±0.391,35.98%,±0.914,37.28%,±0.825,<empty>,37.59%,2.203,0.168,4.118,35.81%,-1.30%,2.374,,ENLINK MIDSTREAM LLC COM UNIT REP LTD,Energy,"Oil, Gas & Consumable Fuels","487,170,380",Oil & Gas Storage & Transportation
LULU,"3,635,664",0,28.16%,176.71,"131,858",176.71,+1.25%,176.51,176.84,4 x 1,173.04,177.72,171.6048,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±5.713,29.48%,±8.224,29.87%,±5.91,<empty>,30.25%,0.478,0.51,0.311,28.16%,-0.39%,0.405,,LULULEMON ATHLETICA INC COM,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","130,275,563","Apparel, Accessories & Luxury Goods"
BGCP,"3,614,737",0,32.24%,4.97,"70,481",4.97,-1.00%,4.89,5.49,40 x 10,5.02,5.08,4.87,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,<empty>,11.27%,±0.188,34.45%,±0.395,32.12%,±0.347,±0.076,31.52%,2.784,0.1,0.054,32.24%,2.33%,0.503,,BGC PARTNERS INC COM CL A,Financials,Capital Markets,"340,890,040",Investment Banking & Brokerage
COP,"3,590,477",0,26.71%,58.82,"457,141",58.82,-0.41%,58.61,58.98,5 x 5,59.06,59.39,58.6905,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.07%,±1.585,24.58%,±2.37,25.87%,±1.761,<empty>,27.08%,0.546,0.471,0.346,26.71%,-1.29%,0.461,,CONOCOPHILLIPS COM,Energy,"Oil, Gas & Consumable Fuels","1,130,175,940",Oil & Gas Exploration & Production
DXC,"3,588,621",0,31.53%,51.72,"344,819",51.72,+0.54%,48.66,52.09,4 x 7,51.05,52.17,50.91,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.62%,±1.972,34.76%,±4.12,32.19%,±3.612,±0.83,31.53%,1.146,0.204,0.843,31.53%,2.57%,1.08,,DXC TECHNOLOGY COMPANY COM,Information Technology,IT Services,"268,597,250",IT Consulting & Other Services
UAA,"3,584,292",0,36.96%,27.07,"276,931",27.07,+1.77%,26.71,27.16,2 x 1,26.58,27.11,26.55,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.981,33.05%,±1.442,34.18%,±1.055,<empty>,35.26%,0.906,0.599,0.885,36.96%,-1.13%,0.898,,UNDER ARMOUR INC COM CL A,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","451,011,940","Apparel, Accessories & Luxury Goods"
TPR,"3,581,467",0,30.21%,29.54,"300,880",29.54,-1.34%,29.30,29.75,4 x 4,29.82,29.89,29.25,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.57%,±0.948,29.26%,±1.402,30.47%,±1.033,<empty>,31.62%,0.358,0.549,0.348,30.21%,-1.21%,0.354,,TAPESTRY INC COM,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","290,135,960","Apparel, Accessories & Luxury Goods"
UNP,"3,579,612",0,26.42%,166.98,"582,204",166.99,-0.10%,166.81,166.98,2 x 1,167.50,167.66,164.82,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.01%,2.11%,±3.951,21.58%,±5.69,21.88%,±4.092,<empty>,22.17%,1.052,0.942,0.623,26.42%,-0.30%,0.789,,UNION PACIFIC CORP COM,Industrials,Road & Rail,"707,838,170",Railroads
EPD,"3,568,737",0,15.88%,29.07,"260,601",29.07,-0.51%,28.97,29.26,20 x 12,29.21,29.21,28.63,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,6.02%,±0.438,13.76%,±0.738,16.31%,±0.594,<empty>,18.48%,0.819,0.364,0.847,15.88%,-2.55%,0.827,,ENTERPRISE PRODS PARTNERS L P COM,Energy,"Oil, Gas & Consumable Fuels","2,188,560,700",Oil & Gas Storage & Transportation
IMGN,"3,535,517",0,80.93%,1.98,"143,799",1.98,-9.17%,1.98,2.15,4 x 10,2.16,2.16,1.97,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.211,96.79%,±0.407,81.64%,±0.344,±0.126,77.46%,0.282,2.652,3.609,80.93%,15.15%,0.854,,IMMUNOGEN INC COM,Health Care,Biotechnology,"149,530,950",Biotechnology
FAST,"3,531,864",0,32.02%,31.65,"341,601",31.65,-3.30%,31.55,31.90,2 x 10,32.67,32.68,31.13,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.72%,±0.969,27.93%,±2.477,31.63%,±2.278,<empty>,32.48%,2.834,0.3,1.838,32.02%,-3.70%,2.519,,FASTENAL COM,Industrials,Trading Companies & Distributors,"572,629,650",Trading Companies & Distributors
QRTEA,"3,519,754",0,37.24%,12.83,"238,050",12.83,-3.10%,12.83,13.60,1 x 1,13.18,13.30,12.81,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.599,42.56%,±1.23,38.69%,±1.072,±0.278,37.68%,0.028,6,0.182,37.24%,3.87%,0.102,,QURATE RETAIL INC COM SER A,Consumer Discretionary,Internet & Direct Marketing Retail,"429,647,180",Internet & Direct Marketing Retail
BBBY,"3,515,658",0,84.24%,12.09,"170,319",12.09,-1.63%,12.03,12.40,5 x 10,12.30,12.315,12.07,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.62%,±0.916,68.91%,±1.146,60.62%,±0.685,±0.612,51.17%,0.576,1.902,0.47,84.24%,8.29%,0.501,,BED BATH AND BEYOND COM,Consumer Discretionary,Specialty Retail,"132,089,269",Homefurnishing Retail
FL,"3,501,345",0,39.34%,43.12,"171,705",43.12,+0.16%,42.32,43.33,5 x 3,43.10,43.34,42.10,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,3.53%,±1.809,38.24%,±2.599,38.65%,±1.862,<empty>,39.05%,0.828,3.406,1.447,39.34%,-0.41%,1.237,,FOOT LOCKER INC COM,Consumer Discretionary,Specialty Retail,"109,701,174",Apparel Retail
EGO,"3,490,295",0,65.93%,4.26,"24,092",4.26,-1.39%,4.20,4.50,10 x 5,4.38,4.47,4.2201,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.88%,±0.288,61.58%,<empty>,<empty>,<empty>,<empty>,<empty>,1.697,0.113,1.028,65.93%,<empty>,1.592,,ELDORADO GOLD CORP COM,Materials,Metals & Mining,"158,801,720",Gold
PVTL,"3,489,427",0,53.15%,10.86,"59,776",10.86,-0.28%,10.65,10.99,5 x 24,10.83,10.99,10.63,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.724,60.69%,±1.496,55.29%,±1.303,±0.333,53.88%,0.819,0.126,0.667,53.15%,5.40%,0.799,,PIVOTAL SOFTWARE INC COM CL A,Information Technology,Software,"271,913,140",Application Software
MAS,"3,487,536",0,29.03%,38.29,"308,897",38.29,-1.92%,38.29,38.49,1 x 5,38.82,39.01,38.055,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.25%,±1.288,30.67%,±2.768,29.23%,±2.448,±0.435,28.86%,0.392,15.56,4.779,29.03%,1.44%,2.852,,MASCO CORP COM,Industrials,Building Products,"293,548,870",Building Products
ZIOP,"3,482,342",0,64.20%,5.28,"71,634",5.22,0.00%,5.28,5.38,1 x 2,5.30,5.52,5.19,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+1.15%,<empty>,±0.409,71.27%,±0.899,68.76%,±0.795,±0.12,68.13%,1.411,0.21,0.994,64.20%,2.51%,1.315,,ZIOPHARM ONCOLOGY INC COM,Health Care,Biotechnology,"162,394,490",Biotechnology
BB,"3,475,970",0,80.24%,8.55,"59,329",8.55,-1.50%,8.49,8.59,2 x 8,8.62,8.64,8.40,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.514,54.71%,±1.074,80.02%,±0.939,<empty>,98.79%,0.404,0.119,0.514,80.24%,-25.31%,0.413,,BLACKBERRY LTD COM,Information Technology,Software,"547,893,830",Systems Software
AHT,"3,446,603",0,<empty>,3.65,"28,506",3.65,-14.92%,3.63,3.95,7 x 40,3.96,3.97,3.46,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,6.58%,±0.15,37.42%,±0.41,45.23%,±0.381,<empty>,46.95%,2.576,10.38,1.938,<empty>,-7.81%,4.375,,ASHFORD HOSPITALITY TRUST INC COM SHS,Real Estate,Equity Real Estate Investment Trusts (REITs),"102,142,228",Hotel & Resort REITs
EQT,"3,441,130",0,50.94%,15.81,"451,756",15.81,-1.98%,15.60,15.89,3 x 10,16.07,16.22,15.74,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.76%,±0.893,51.46%,±1.521,87.35%,±1.227,±0.235,++,0.487,0.219,2.109,50.94%,-35.89%,0.565,,EQT CORPORATION COM,Energy,"Oil, Gas & Consumable Fuels","255,507,170",Oil & Gas Exploration & Production
