Quote on 6/15/19 12:02:59

0 - Optionable
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
ABEV,"24,640,152",0,31.55%,4.51,"307,570",4.51,-2.80%,4.40,4.69,1 x 30,4.61,4.65,4.51,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,<empty>,7.23%,±0.199,40.23%,±0.351,31.49%,±0.289,±0.138,28.94%,0.25,0.2,0.217,31.55%,8.74%,0.283,,AMBEV SA ADR SPONSORED,Consumer Staples,Beverages,"15,726,900,000",Brewers
SNAP,"24,189,742",0,47.76%,13.96,"717,588",13.96,-1.06%,13.91,14.00,20 x 160,14.15,14.15,13.65,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.809,52.75%,±1.113,51.04%,±0.762,±0.287,49.30%,0.966,0.456,1.192,47.76%,1.71%,1.027,,SNAP INC COM CL A,Communication Services,Interactive Media & Services,"1,340,064,000",Interactive Media & Services
IGC,"23,723,115",0,269.25%,1.28,0,1.26,+48.22%,1.28,1.30,1 x 58,1.30,1.49,1.16,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+1.59%,<empty>,±0.617,402.98%,±0.958,251.20%,±0.605,±0.525,196.66%,4.689,0.421,4.778,269.25%,151.78%,4.771,,INDIA GLOBALIZATIO COM,Industrials,Trading Companies & Distributors,"39,586,822",Trading Companies & Distributors
CSCO,"22,530,450",0,22.90%,54.75,"1,714,256",54.75,-2.53%,54.70,54.75,5 x 3,55.99,56.015,54.66,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.56%,±1.399,23.30%,±1.999,23.44%,±1.427,<empty>,23.58%,0.839,1.209,1.29,22.90%,-0.14%,1.037,,CISCO SYSTEMS INC COM,Information Technology,Communications Equipment,"4,280,733,000",Communications Equipment
F,"21,553,248",0,33.29%,9.98,"1,590,148",9.98,-0.80%,9.97,10.04,481 x 28,10.01,10.04,9.94,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,6.01%,±0.318,29.04%,±0.455,29.25%,±0.325,<empty>,29.46%,0.787,0.565,1.33,33.29%,-0.21%,0.923,,FORD MOTOR CO COM,Consumer Discretionary,Automobiles,"3,989,545,900",Automobile Manufacturers
ITUB,"21,172,930",0,38.24%,8.72,"512,921",8.72,-1.47%,8.27,9.79,2 x 5,8.73,8.755,8.595,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.53%,±0.329,34.43%,±0.331,34.57%,±0.03,<empty>,++,0.634,0.741,0.543,38.24%,-0.14%,0.592,,ITAU UNIBANCO HOLDINGS S.A. ADR SPONSORED,Financials,Capital Markets,"9,743,243,100",Investment Banking & Brokerage
CMCSA,"20,943,662",0,22.27%,42.34,"2,407,735",42.31,+1.49%,42.34,42.40,17 x 6,41.97,42.495,41.695,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.07%,1.99%,±0.919,19.81%,±1.317,19.99%,±0.943,<empty>,20.17%,0.848,0.334,0.914,22.27%,-0.18%,0.864,,COMCAST CORP COM CL A,Communication Services,Media,"4,538,791,000",Cable & Satellite
T,"19,848,544",0,20.64%,32.35,"2,471,426",32.35,+0.19%,32.33,32.40,2 x 6,32.34,32.44,32.18,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,6.31%,±0.745,21.00%,±0.976,19.37%,±0.63,±0.405,17.62%,0.86,0.797,0.818,20.64%,1.63%,0.841,,AT&T INC COM,Communication Services,Diversified Telecommunication Services,"7,298,000,000",Integrated Telecommunication Services
MU,"19,714,950",0,54.65%,32.66,"735,347",32.66,-2.16%,32.66,32.73,28 x 7,32.45,32.84,32.245,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±1.72,47.98%,±3.239,63.39%,±2.736,<empty>,75.54%,1.161,0.782,0.793,54.65%,-15.41%,0.964,,MICRON TECHNOLOGY INC COM,Information Technology,Semiconductors & Semiconductor Equipment,"1,106,687,010",Semiconductors
NBR,"19,268,107",0,117.05%,2.04,"219,579",2.04,-10.92%,2.00,2.09,10 x 20,2.26,2.28,1.98,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.96%,±0.303,133.80%,±0.366,113.50%,±0.202,±0.225,89.12%,1.484,0.431,1.453,117.05%,20.30%,1.474,,NABORS INDUSTRIES LTD COM,Energy,Energy Equipment & Services,"363,156,100",Oil & Gas Drilling
