Stock quote and option quote for SPY on 6/14/19 21:47:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
289.26,P,-.32,289.31,P,289.42,P,2 x 1,"52,324,716",289.26,289.93,288.41

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.71%,67.58,1.233,Q,3/15/19,294.95,233.76,"947,430,000",1.0

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,SPY190614C252,0,0,129.92%,80.85,.981,.002,.007,-.736,.007,0, ,37.455,0,50,50,97.71%,2.29%,4.52%,18.31%,18.31%,37.14,M,37.77,M,14 JUN 19,252,0,B,.01,Q,SPY190614P252,0,51,88.36%,25.24,-.001,.00,.001,-.105,.00,.18,E,.005,.18,0,"3,900",0.15%,99.85%,0.30%,0.63%,<empty>,,
,,SPY190614C252.5,0,0,128.32%,79.91,.980,.002,.007,-.732,.007,0, ,36.955,0,50,50,97.69%,2.31%,4.56%,18.31%,18.31%,36.64,M,37.27,M,14 JUN 19,252.5,0,B,.01,Q,SPY190614P252.5,0,73,87.19%,24.95,-.001,.00,.001,-.105,.00,.01,Q,.005,.01,0,"3,900",0.15%,99.85%,0.31%,0.63%,<empty>,,
,,SPY190614C253,0,0,126.72%,78.97,.980,.003,.007,-.728,.007,0, ,36.455,0,50,50,97.67%,2.33%,4.61%,18.31%,18.31%,36.14,M,36.77,M,14 JUN 19,253,0,B,.01,Q,SPY190614P253,0,8,86.03%,24.66,-.001,.00,.001,-.104,.00,.04,W,.005,.04,0,"3,900",0.16%,99.84%,0.31%,0.63%,<empty>,,
,,SPY190614C254,0,0,123.53%,77.07,.980,.003,.007,-.719,.007,0, ,35.455,0,50,50,97.62%,2.38%,4.69%,18.31%,18.31%,35.14,M,35.77,M,14 JUN 19,254,0,B,.01,Q,SPY190614P254,0,99,83.70%,24.08,-.001,.00,.001,-.103,.00,.03,C,.005,.03,0,"3,900",0.16%,99.84%,0.32%,0.63%,<empty>,,
,,SPY190614C255,3,4,109.01%,70.15,.987,.002,.005,-.481,.007,33.69,E,34.385,33.69,3,3,98.56%,1.44%,2.86%,9.47%,9.47%,34.16,N,34.61,N,14 JUN 19,255,0,B,.01,Q,SPY190614P255,0,"20,510",81.38%,23.50,-.001,.00,.001,-.102,.00,.01,I,.005,.01,0,"3,900",0.16%,99.84%,0.32%,0.63%,<empty>,,
,,SPY190614C256,0,0,117.09%,73.24,.979,.003,.008,-.701,.007,0, ,33.455,0,50,50,97.54%,2.46%,4.87%,18.31%,18.31%,33.14,M,33.77,M,14 JUN 19,256,0,M,.01,Q,SPY190614P256,0,54,79.06%,22.91,-.001,.00,.001,-.100,.00,.04,A,.005,.04,0,"3,900",0.17%,99.83%,0.33%,0.63%,<empty>,,
,,SPY190614C257,0,0,113.90%,71.32,.978,.003,.008,-.692,.007,0, ,32.455,0,50,50,97.49%,2.51%,4.97%,18.31%,18.31%,32.14,M,32.77,M,14 JUN 19,257,0,B,.01,Q,SPY190614P257,0,151,76.75%,22.32,-.001,.00,.001,-.099,.00,.01,N,.005,.01,0,"3,900",0.17%,99.83%,0.34%,0.63%,<empty>,,
,,SPY190614C257.5,0,0,112.30%,70.36,.978,.003,.008,-.687,.007,0, ,31.955,0,50,50,97.46%,2.54%,5.03%,18.31%,18.31%,31.64,M,32.27,M,14 JUN 19,257.5,0,T,.01,Q,SPY190614P257.5,0,78,75.59%,22.03,-.002,.00,.001,-.099,.00,.01,N,.005,.01,0,"3,900",0.17%,99.83%,0.34%,0.63%,<empty>,,
,,SPY190614C258,0,0,110.71%,69.40,.978,.003,.008,-.683,.007,0, ,31.455,0,50,50,97.43%,2.57%,5.08%,18.31%,18.31%,31.14,M,31.77,M,14 JUN 19,258,0,B,.01,Q,SPY190614P258,0,277,74.44%,21.73,-.002,.00,.001,-.098,.00,.01,N,.005,.01,0,"3,900",0.17%,99.83%,0.35%,0.63%,<empty>,,
,,SPY190614C259,0,0,107.46%,67.44,.977,.003,.008,-.672,.007,0, ,30.455,0,50,50,97.38%,2.62%,5.18%,18.31%,18.31%,30.14,M,30.77,M,14 JUN 19,259,0,B,.01,Q,SPY190614P259,0,476,72.13%,21.13,-.002,.00,.001,-.097,.00,.03,H,.005,.03,0,"3,900",0.18%,99.82%,0.36%,0.63%,<empty>,,
,,SPY190614C260,102,140,106.61%,66.56,.974,.004,.009,-.716,.007,29.27,C,29.475,29.27,10,50,97.04%,2.96%,5.85%,20.83%,20.83%,29.18,N,29.77,M,14 JUN 19,260,0,B,.01,Q,SPY190614P260,2,"34,848",69.83%,20.53,-.002,.00,.001,-.095,.00,.01,M,.005,.01,0,"3,900",0.18%,99.82%,0.36%,0.63%,<empty>,,
,,SPY190614C261,0,0,94.55%,60.59,.982,.003,.007,-.510,.007,0, ,28.405,0,252,252,98.02%,1.98%,3.93%,11.99%,11.99%,28.18,E,28.63,E,14 JUN 19,261,0,B,.01,Q,SPY190614P261,0,"4,819",67.53%,19.93,-.002,.001,.001,-.094,.00,.01,E,.005,.01,0,"3,900",0.19%,99.81%,0.37%,0.63%,<empty>,,
,,SPY190614C262,0,3,91.52%,58.70,.982,.003,.007,-.502,.007,27.82,C,27.405,27.82,252,252,97.97%,2.03%,4.03%,11.99%,11.99%,27.18,E,27.63,E,14 JUN 19,262,0,B,.01,Q,SPY190614P262,0,"3,208",65.24%,19.33,-.002,.001,.001,-.092,.00,.01,E,.005,.01,0,"3,900",0.19%,99.81%,0.39%,0.63%,<empty>,,
,,SPY190614C262.5,0,0,96.37%,60.65,.975,.004,.009,-.639,.007,0, ,26.955,0,252,252,97.15%,2.85%,5.64%,18.31%,18.31%,26.64,E,27.27,E,14 JUN 19,262.5,0,B,.01,Q,SPY190614P262.5,0,"3,133",64.09%,19.02,-.002,.001,.001,-.092,.00,.01,N,.005,.01,0,"3,900",0.20%,99.80%,0.39%,0.63%,<empty>,,
,,SPY190614C263,0,0,94.77%,59.67,.974,.004,.009,-.634,.007,0, ,26.455,0,252,252,97.12%,2.88%,5.71%,18.31%,18.31%,26.14,E,26.77,E,14 JUN 19,263,0,B,.01,Q,SPY190614P263,30,"4,968",62.94%,18.72,-.002,.001,.001,-.091,.00,.01,A,.005,.01,0,"3,900",0.20%,99.80%,0.40%,0.63%,<empty>,,
,,SPY190614C264,0,62,89.91%,56.93,.976,.004,.009,-.585,.007,12.97,I,25.440,12.97,255,252,97.28%,2.72%,5.40%,16.41%,16.41%,25.25,E,25.63,E,14 JUN 19,264,0,B,.01,Q,SPY190614P264,0,"37,249",60.65%,18.11,-.002,.001,.001,-.089,.00,.01,E,.005,.01,0,"3,900",0.21%,99.79%,0.41%,0.63%,<empty>,,
,,SPY190614C265,15,33,86.76%,54.97,.975,.004,.009,-.575,.007,24.78,E,24.440,24.78,262,268,97.20%,2.80%,5.55%,16.41%,16.41%,24.25,E,24.63,E,14 JUN 19,265,0,B,.01,Q,SPY190614P265,1,"19,380",58.36%,17.49,-.002,.001,.001,-.088,.00,.01,E,.005,.01,0,"3,900",0.21%,99.79%,0.42%,0.63%,<empty>,,
,,SPY190614C266,0,165,73.99%,48.56,.986,.003,.006,-.357,.007,23.20,W,23.370,23.20,260,252,98.43%,1.57%,3.13%,7.57%,7.57%,23.25,E,23.49,E,14 JUN 19,266,0,B,.01,P,SPY190614P266,18,"20,701",56.08%,16.87,-.002,.001,.001,-.086,.00,.01,N,.005,.01,0,"1,300",0.22%,99.78%,0.44%,0.63%,<empty>,,
